ID,ImageType,Prompt_JP,Prompt_EN
08_tatsuya_beginner_word-to-powerpoint-01-Before,traditionalMethodDiagram,"ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。疲れて退屈そうな人物が、Word文書アイコンからPowerPointスライドアイコンへテキストを手動でドラッグしている様子。前後の動きを示す複数の矢印で、遅く退屈で反復的なタスクとして描かれている。シンプルなラインアート、スケッチ風の質感。","Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is shown looking tired and bored, manually dragging text from a Word document icon to a PowerPoint slide icon. The process is depicted as a slow, tedious, and repetitive task with multiple arrows showing the back-and-forth motion. Simple line art, sketch-like quality."
08_tatsuya_beginner_word-to-powerpoint-02-After,aiMethodDiagram,"ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が見出しが正しくスタイル設定されたWord文書アイコンを陽気なAIロボットに渡すだけ。ロボットが即座に処理し、完全に形成されたプロフェッショナルなPowerPointプレゼンテーションを提示。シンプルなラインアート、スケッチ風の質感。","Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person simply hands a Word document icon (with correctly styled headings) to a cheerful AI robot. The robot instantly processes it and presents a fully formed, professional PowerPoint presentation. Simple line art, sketch-like quality."
07_kyoko_beginner_simplification-01-Before,traditionalMethodDiagram,"ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。専門家が話しているが、その吹き出しは複雑な記号と技術的なアイコンで満たされている。別部門の聞き手は頭上に巨大な疑問符があり、完全なコミュニケーションギャップを示している。シンプルなラインアート、スケッチ風の質感。","Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. An expert is talking, but their speech bubble is filled with complex symbols and technical icons. The listener, from another department, has a giant question mark over their head, showing a complete communication gap. Simple line art, sketch-like quality."
07_kyoko_beginner_simplification-02-After,aiMethodDiagram,"ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。友好的なAIロボットが専門家と聞き手の間に立ち、翻訳者として機能。ロボットが複雑な吹き出しを取り、基本的なアイコンと理解しやすい視覚的比喩を含むシンプルで明確な吹き出しに変換。シンプルなラインアート、スケッチ風の質感。","Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A friendly AI robot stands between the expert and the listener, acting as a translator. The robot takes the complex bubble and transforms it into a simple, clear bubble with basic icons and easy-to-understand visual metaphors. Simple line art, sketch-like quality."
06_kyoko_intermediate_copilot-coaching-01-Before,traditionalMethodDiagram,"ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が緊張してビジネスメールを書いている様子。思考バブルには心配記号と疑問符が含まれている。「送信」ボタンが大きく威圧的なボタンとして描かれている。シンプルなラインアート、スケッチ風の質感。","Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is shown nervously writing a business email. Their thought bubble contains worry symbols and question marks. The 'Send' button is depicted as a large, intimidating button. Simple line art, sketch-like quality."
06_kyoko_intermediate_copilot-coaching-02-After,aiMethodDiagram,"ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物がメールの下書きを友好的なAIロボットコーチに見せている。ロボットがサイドパネルでチェックマークと改善アイコンとともに有益な提案を提供し、優しいライティング講師として機能。シンプルなラインアート、スケッチ風の質感。","Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is showing their email draft to a friendly AI robot coach. The robot provides helpful suggestions in a side panel with checkmarks and improvement icons, acting as a gentle writing tutor. Simple line art, sketch-like quality."
05_tatsuya_beginner_gemini-in-workspace-01-Before,traditionalMethodDiagram,"ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が必死に情報を探しており、Gmail、Google Drive、Docsの混沌とした重なり合うウィンドウに囲まれている。複数のプラットフォーム間での検索のストレスを象徴する場面。シンプルなラインアート、スケッチ風の質感。","Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is frantically searching for information, surrounded by chaotic, overlapping windows of Gmail, Google Drive, and Docs. The scene symbolizes the stress of searching across multiple platforms. Simple line art, sketch-like quality."
05_tatsuya_beginner_gemini-in-workspace-02-After,aiMethodDiagram,"ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が単一の統合されたAIインターフェースに冷静に話しかけている。AIロボットがGmail、Drive、Docsのアイコンから情報を引き出し、単一の読みやすい要約文書にきれいにまとめている様子。シンプルなラインアート、スケッチ風の質感。","Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person calmly speaks to a single, unified AI interface. The AI robot is shown pulling information from Gmail, Drive, and Docs icons and neatly compiling it into a single, easy-to-read summary document. Simple line art, sketch-like quality."
04_advanced_ai-research-agent-01-Before,traditionalMethodDiagram,"ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。会議中に必死でメモを取る人物。メモが断片的で読み返しても分からない状態。録音機器の横に時計があり、聞き返すのに長時間かかることを示している。重要な決定事項が曖昧になっている様子を霧で表現。シンプルなラインアート、スケッチ風の質感。","Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person frantically taking notes during a meeting. The notes are fragmented and incomprehensible when reviewed later. A clock next to a recording device shows the long time needed to listen back. Important decisions becoming unclear is represented by fog. Simple line art, sketch-like quality."
04_advanced_ai-research-agent-02-After,aiMethodDiagram,"ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が会議の録音データをAI議事録作成ロボットにアップロード。AIが5分で構造化された議事録（決定事項、アクションアイテム、宿題リスト）を作成。参加者全員がタブレットで同じ内容を確認し、認識が一致している様子。シンプルなラインアート、スケッチ風の質感。","Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person uploads meeting recording data to an AI minutes-taking robot. The AI creates a structured meeting minutes in 5 minutes (decisions, action items, homework list). All participants are viewing the same content on tablets, showing aligned understanding. Simple line art, sketch-like quality."
03_tatsuya_beginner_personalized-news-report-01-Before,traditionalMethodDiagram,"ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が手動で複数のニュースウェブサイトを訪問している様子で、疲れて見える。背景の時計がかなりの時間が経過していることを示している。シンプルなラインアート、スケッチ風の質感。","Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is depicted manually visiting multiple news websites, looking tired. A clock in the background shows a significant amount of time passing. Simple line art, sketch-like quality."
03_tatsuya_beginner_personalized-news-report-02-After,aiMethodDiagram,"ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。友好的なAIロボットが微笑む人物にパーソナライズされた新聞を届けている。新聞には異なるトピックを表す関連アイコンを持つ整理されたセクションが含まれている。シンプルなラインアート、スケッチ風の質感。","Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A friendly AI robot is shown delivering a personalized newspaper to a smiling person. The newspaper contains organized sections with relevant icons representing different topics. Simple line art, sketch-like quality."
02_kyoko_beginner_web-summary-01-Before,traditionalMethodDiagram,"ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が画面上の非常に長く密度の高いウェブ記事を読もうとして居眠りしている様子。記事は終わりのないスクロールとして表示されている。シンプルなラインアート、スケッチ風の質感。","Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is shown dozing off while trying to read a very long, dense web article on a screen. The article appears as an endless scroll. Simple line art, sketch-like quality."
02_kyoko_beginner_web-summary-02-After,aiMethodDiagram,"ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物がウェブ記事を表す長いスクロールを友好的なAIロボットに渡している。ロボットが即座にスクロールを箇条書きのある小さくきれいなメモに圧縮し、時間効率の大幅な改善を示している。シンプルなラインアート、スケッチ風の質感。","Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person hands a long scroll representing a web article to a friendly AI robot. The robot instantly compresses the scroll into a small, neat note with bullet points, demonstrating a huge improvement in time efficiency. Simple line art, sketch-like quality."
01_beginner_organize-thoughts-01-Before,traditionalMethodDiagram,"ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物の頭上に大きく乱雑で絡まった毛糸玉があり、混沌とした思考を表している。毛糸玉の中には様々な抽象的なシンボルやアイコンが閉じ込められて無秩序になっている。シンプルなラインアート、スケッチ風の質感。","Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is shown with a large, messy, tangled ball of yarn above their head, representing chaotic thoughts. Inside the yarn ball, various abstract symbols and icons are trapped and disorganized. Simple line art, sketch-like quality."
01_beginner_organize-thoughts-02-After,aiMethodDiagram,"ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が友好的なAIロボットに冷静に話しかけている。ロボットが巧みに毛糸玉をほどき、シンプルなラベル付きの3つの別々の整理されたスプールにきれいに巻いている。場面はクリーンで穏やか。シンプルなラインアート、スケッチ風の質感。","Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is calmly talking to a friendly AI robot. The robot is skillfully untangling the ball of yarn and neatly winding it into three separate, organized spools with simple labels. The scene is clean and serene. Simple line art, sketch-like quality."
34_advanced_learning-community-01-Before,traditionalMethodDiagram,"ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が広大で空の空間で一人で机に向かって勉強しており、孤独に見える。頭上に大きな疑問符が浮かび、独学の孤立を強調している。シンプルなラインアート、スケッチ風の質感。","Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is studying alone at a desk in a vast, empty space, looking lonely. A large question mark floats above their head, emphasizing the isolation of self-study. Simple line art, sketch-like quality."
34_advanced_learning-community-02-After,aiMethodDiagram,"ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。友好的なAIロボットがコミュニティマネージャーとして機能し、仮想空間で複数の人々を繋いでいる。彼らは幸せにアイデアを交換し、お互いを助け合っており、電球と接続線がコラボレーションを示している。シンプルなラインアート、スケッチ風の質感。","Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A friendly AI robot acts as a community manager, connecting several people in a virtual space. They are happily exchanging ideas and helping each other, with lightbulbs and connection lines showing collaboration. Simple line art, sketch-like quality."
33_intermediate_weekly-report-01-Before,traditionalMethodDiagram,"ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物がハムスターホイールで走っている。汗をかいて疲れて見えるが、風景は変わらず、進歩や反省のない努力を表している。シンプルなラインアート、スケッチ風の質感。","Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is running on a hamster wheel. They are sweating and look tired, but the scenery isn't changing, representing effort without progress or reflection. Simple line art, sketch-like quality."
33_intermediate_weekly-report-02-After,aiMethodDiagram,"ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。友好的なAIデータアナリストが人物に週の単純で明確なレポートカードを見せている。レポートにはチェックマークと改善アイコンのセクションがあり、計画のための明確な基盤を提供している。シンプルなラインアート、スケッチ風の質感。","Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A friendly AI data analyst is showing a person a simple, clear report card for the week. The report has sections with checkmarks and improvement icons, providing a clear basis for planning. Simple line art, sketch-like quality."
32_intermediate_gamification-progress-01-Before,traditionalMethodDiagram,"ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が標識やマイルストーンのない長く単調で終わりのない道を歩いている。退屈でやる気を失っているように見える。シンプルなラインアート、スケッチ風の質感。","Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is walking on a long, monotonous, and endless road with no signs or milestones. They look bored and demotivated. Simple line art, sketch-like quality."
32_intermediate_gamification-progress-02-After,aiMethodDiagram,"ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。友好的なAIゲームマスターが人物に輝くメダルと星付きのレベルアップ通知を与えている。人物はロールプレイングゲームのキャラクターのように興奮してやる気に満ちている。シンプルなラインアート、スケッチ風の質感。","Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A friendly AI game master is shown giving a person a glowing medal and a level-up notification with stars. The person looks excited and motivated, like a character in a role-playing game. Simple line art, sketch-like quality."
31_beginner_digital-certificate-01-Before,traditionalMethodDiagram,"ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が長い道で小さな一歩を踏み出しているが、誰もそれを認めてくれる人がいないため落胆している。場面は空虚で孤独に感じられる。シンプルなラインアート、スケッチ風の質感。","Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person takes a small step forward on a long path, but looks dejected as no one is there to acknowledge it. The scene feels empty and lonely. Simple line art, sketch-like quality."
31_beginner_digital-certificate-02-After,aiMethodDiagram,"ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。友好的なAIロボットが熱心なチアリーダーとして、人物に星やトロフィーアイコン付きの大きく輝くデジタル証明書を提示している。シンプルなラインアート、スケッチ風の質感。","Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A friendly AI robot, acting as an enthusiastic cheerleader, presents a person with a large, glowing digital certificate with a star or trophy icon. Simple line art, sketch-like quality."
30_intermediate_motivation-coach-01-Before,traditionalMethodDiagram,"ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が一人で勉強しており、モチベーションゲージ（バッテリーアイコンとして表示）がほぼ空になっている。人物は疲れて諦めかけているように見える。シンプルなラインアート、スケッチ風の質感。","Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is studying alone, and their motivation gauge (shown as a battery icon) is shown to be almost empty. The person looks tired and ready to give up. Simple line art, sketch-like quality."
30_intermediate_motivation-coach-02-After,aiMethodDiagram,"ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が小さな進歩を友好的なAIコーチに報告している。コーチがサムズアップと励ましのジェスチャーをしている。この行動が人物のモチベーションバッテリーゲージを再充填している様子。シンプルなラインアート、スケッチ風の質感。","Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is reporting their small progress to a friendly AI coach. The coach gives them a thumbs-up and encouraging gesture. This action is shown to be refilling the person's motivation battery gauge. Simple line art, sketch-like quality."
29_intermediate_business-english-01-Before,traditionalMethodDiagram,"ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が緊張してメールの下書きを見ている。下書きは不自然で不器用に見え、取り消し線のあるセクションと疑問符がある。シンプルなラインアート、スケッチ風の質感。","Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is nervously looking at an email draft. The draft appears awkward and unnatural, with crossed-out sections and question marks. Simple line art, sketch-like quality."
29_intermediate_business-english-02-After,aiMethodDiagram,"ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が下書きを卒業帽をかぶった賢そうなAIロボットに見せている。ロボットがそれを洗練されたプロフェッショナルな文書に書き直し、文化的文脈アイコン付きの有益なメモも提供している。シンプルなラインアート、スケッチ風の質感。","Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person shows a draft to a wise-looking AI robot with a graduation cap. The robot rewrites it into a polished, professional document, while also providing a helpful note with cultural context icons. Simple line art, sketch-like quality."
28_beginner_ai-english-teacher-01-Before,traditionalMethodDiagram,"ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。オンライン英会話の画面に向かう人物。恐怖と恥ずかしさで固まっており、吹き出しには「Nice weather today」「I'm fine」などの当たり障りない定型文のみ。相手の外国人講師は退屈そうな表情。シンプルなラインアート、スケッチ風の質感。","Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person facing an online English conversation screen. Frozen with fear and shyness, their speech bubble contains only safe, generic phrases like 'Nice weather today' and 'I'm fine'. The foreign teacher on screen looks bored. Simple line art, sketch-like quality."
28_beginner_ai-english-teacher-02-After,aiMethodDiagram,"ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が友好的なAIロボット教授とビジネス交渉のロールプレイを自信を持って練習している。ロボットが即座に、批判的でない方法で有益なフィードバックを提供している。シンプルなラインアート、スケッチ風の質感。","Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is confidently practicing a business negotiation role-play with a friendly AI robot professor. The robot provides instant, helpful feedback in a non-judgmental way. Simple line art, sketch-like quality."
27_intermediate_feynman-technique-01-Before,traditionalMethodDiagram,"ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が本を読んで思考バブルにチェックマークがあり、理解したと思っている。しかし同僚が説明を求めると、空の吹き出しで言葉に詰まっている。シンプルなラインアート、スケッチ風の質感。","Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person reads a book and has a thought bubble with a checkmark, thinking they understand. But when a colleague asks them to explain, they are at a loss for words, with an empty speech bubble. Simple line art, sketch-like quality."
27_intermediate_feynman-technique-02-After,aiMethodDiagram,"ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が自分自身のロボット版（クローン）にコンセプトを教えている。人物がクローンの説明を修正し、洗練させている様子が示され、それが自身の理解を固めている。シンプルなラインアート、スケッチ風の質感。","Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is teaching a concept to a robot version of themselves (a clone). The person is shown correcting and refining the clone's explanation, which solidifies their own understanding. Simple line art, sketch-like quality."
26_beginner_daily-reflection-01-Before,traditionalMethodDiagram,"ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が本を読んでおり、情報が片耳から入ってそのまま反対側から出ていく矢印として描かれ、知識が何も残らない様子。シンプルなラインアート、スケッチ風の質感。","Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is reading a book, and the information is depicted as arrows flowing in one ear and straight out the other, leaving no knowledge behind. Simple line art, sketch-like quality."
26_beginner_daily-reflection-02-After,aiMethodDiagram,"ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が友好的なAIインタビュアーと対話している。AIが吹き出しで思慮深い疑問符を尋ねている。この質問が人物の頭上に電球を出現させ、より深い理解を示している。シンプルなラインアート、スケッチ風の質感。","Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is having a dialogue with a friendly AI interviewer. The AI asks a thoughtful question mark in a speech bubble. This question causes a lightbulb to appear over the person's head, signifying deeper understanding. Simple line art, sketch-like quality."
25_intermediate_exam-analysis-01-Before,traditionalMethodDiagram,"ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が疲れ果てた様子で、最初のページから最後まで巨大で厚い教科書を読もうとしており、非効率な戦略を強調している。シンプルなラインアート、スケッチ風の質感。","Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is shown looking exhausted, trying to read a massive, thick textbook from the first page to the last, highlighting the inefficient strategy. Simple line art, sketch-like quality."
