ID,ImageType,Prompt
07_kyoko_beginner_simplification-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A friendly AI robot stands between the expert and the listener, acting as a translator. The robot takes the complex bubble and transforms it into a simple, clear bubble with basic icons and easy-to-understand visual metaphors. Simple line art, sketch-like quality."
06_kyoko_intermediate_copilot-coaching-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is shown nervously writing a business email. Their thought bubble contains worry symbols and question marks. The 'Send' button is depicted as a large, intimidating button. Simple line art, sketch-like quality."
06_kyoko_intermediate_copilot-coaching-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is showing their email draft to a friendly AI robot coach. The robot provides helpful suggestions in a side panel with checkmarks and improvement icons, acting as a gentle writing tutor. Simple line art, sketch-like quality."
05_tatsuya_beginner_gemini-in-workspace-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is frantically searching for information, surrounded by chaotic, overlapping windows of Gmail, Google Drive, and Docs. The scene symbolizes the stress of searching across multiple platforms. Simple line art, sketch-like quality."
05_tatsuya_beginner_gemini-in-workspace-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person calmly speaks to a single, unified AI interface. The AI robot is shown pulling information from Gmail, Drive, and Docs icons and neatly compiling it into a single, easy-to-read summary document. Simple line art, sketch-like quality."
04_advanced_ai-research-agent-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is drowning in a sea of news articles and reports, looking overwhelmed. The person is unable to distinguish important information from noise, with papers flying everywhere. Simple line art, sketch-like quality."
04_advanced_ai-research-agent-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A calm and informed person is reading a single, neat report with organized sections. The report is being presented by a friendly AI robot team, showing that the tedious work has been automated. Simple line art, sketch-like quality."
03_tatsuya_beginner_personalized-news-report-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is depicted manually visiting multiple news websites, looking tired. A clock in the background shows a significant amount of time passing. Simple line art, sketch-like quality."
03_tatsuya_beginner_personalized-news-report-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A friendly AI robot is shown delivering a personalized newspaper to a smiling person. The newspaper contains organized sections with relevant icons representing different topics. Simple line art, sketch-like quality."
02_kyoko_beginner_web-summary-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is shown dozing off while trying to read a very long, dense web article on a screen. The article appears as an endless scroll. Simple line art, sketch-like quality."
02_kyoko_beginner_web-summary-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person hands a long scroll representing a web article to a friendly AI robot. The robot instantly compresses the scroll into a small, neat note with bullet points, demonstrating a huge improvement in time efficiency. Simple line art, sketch-like quality."
01_beginner_organize-thoughts-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is shown with a large, messy, tangled ball of yarn above their head, representing chaotic thoughts. Inside the yarn ball, various abstract symbols and icons are trapped and disorganized. Simple line art, sketch-like quality."
01_beginner_organize-thoughts-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is calmly talking to a friendly AI robot. The robot is skillfully untangling the ball of yarn and neatly winding it into three separate, organized spools with simple labels. The scene is clean and serene. Simple line art, sketch-like quality."
34_advanced_learning-community-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is studying alone at a desk in a vast, empty space, looking lonely. A large question mark floats above their head, emphasizing the isolation of self-study. Simple line art, sketch-like quality."
34_advanced_learning-community-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A friendly AI robot acts as a community manager, connecting several people in a virtual space. They are happily exchanging ideas and helping each other, with lightbulbs and connection lines showing collaboration. Simple line art, sketch-like quality."
33_intermediate_weekly-report-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is running on a hamster wheel. They are sweating and look tired, but the scenery isn't changing, representing effort without progress or reflection. Simple line art, sketch-like quality."
33_intermediate_weekly-report-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A friendly AI data analyst is showing a person a simple, clear report card for the week. The report has sections with checkmarks and improvement icons, providing a clear basis for planning. Simple line art, sketch-like quality."
32_intermediate_gamification-progress-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is walking on a long, monotonous, and endless road with no signs or milestones. They look bored and demotivated. Simple line art, sketch-like quality."
32_intermediate_gamification-progress-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A friendly AI game master is shown giving a person a glowing medal and a level-up notification with stars. The person looks excited and motivated, like a character in a role-playing game. Simple line art, sketch-like quality."
31_beginner_digital-certificate-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person takes a small step forward on a long path, but looks dejected as no one is there to acknowledge it. The scene feels empty and lonely. Simple line art, sketch-like quality."
31_beginner_digital-certificate-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A friendly AI robot, acting as an enthusiastic cheerleader, presents a person with a large, glowing digital certificate with a star or trophy icon. Simple line art, sketch-like quality."
30_intermediate_motivation-coach-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is studying alone, and their motivation gauge (shown as a battery icon) is shown to be almost empty. The person looks tired and ready to give up. Simple line art, sketch-like quality."
30_intermediate_motivation-coach-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is reporting their small progress to a friendly AI coach. The coach gives them a thumbs-up and encouraging gesture. This action is shown to be refilling the person's motivation battery gauge. Simple line art, sketch-like quality."
29_intermediate_business-english-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is nervously looking at an email draft. The draft appears awkward and unnatural, with crossed-out sections and question marks. Simple line art, sketch-like quality."
29_intermediate_business-english-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person shows a draft to a wise-looking AI robot with a graduation cap. The robot rewrites it into a polished, professional document, while also providing a helpful note with cultural context icons. Simple line art, sketch-like quality."
28_beginner_ai-english-teacher-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is trying to speak, but is frozen with fear and shyness. Their speech bubble is empty, showing communication anxiety. Simple line art, sketch-like quality."
28_beginner_ai-english-teacher-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is confidently practicing a business negotiation role-play with a friendly AI robot professor. The robot provides instant, helpful feedback in a non-judgmental way. Simple line art, sketch-like quality."
27_intermediate_feynman-technique-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person reads a book and has a thought bubble with a checkmark, thinking they understand. But when a colleague asks them to explain, they are at a loss for words, with an empty speech bubble. Simple line art, sketch-like quality."
27_intermediate_feynman-technique-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is teaching a concept to a robot version of themselves (a clone). The person is shown correcting and refining the clone's explanation, which solidifies their own understanding. Simple line art, sketch-like quality."
26_beginner_daily-reflection-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is reading a book, and the information is depicted as arrows flowing in one ear and straight out the other, leaving no knowledge behind. Simple line art, sketch-like quality."
26_beginner_daily-reflection-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is having a dialogue with a friendly AI interviewer. The AI asks a thoughtful question mark in a speech bubble. This question causes a lightbulb to appear over the person's head, signifying deeper understanding. Simple line art, sketch-like quality."
25_intermediate_exam-analysis-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is shown looking exhausted, trying to read a massive, thick textbook from the first page to the last, highlighting the inefficient strategy. Simple line art, sketch-like quality."
25_intermediate_exam-analysis-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A friendly AI analyst shows a person a simple pie chart of the exam content. The chart clearly divides topics into a large important slice and a small less important slice, enabling a focused strategy. Simple line art, sketch-like quality."
24_beginner_personalized-quiz-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is shown on a seesaw of learning. One side is on the ground (too easy), the other side is high in the air (too difficult), showing the mismatch of generic quizzes. Simple line art, sketch-like quality."
24_beginner_personalized-quiz-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A friendly AI teacher is shown adjusting a difficulty dial for a person. The dial is perfectly set to an optimal zone, keeping the person engaged and motivated. Simple line art, sketch-like quality."
23_kyoko_intermediate_notebooklm-self-learning-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is looking overwhelmed, standing before a huge, messy pile of documents and manuals. A large question mark shows their confusion. Simple line art, sketch-like quality."
23_kyoko_intermediate_notebooklm-self-learning-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is having a friendly chat with an AI tutor. The AI is answering a question with a clear explanation, and a citation arrow points directly to the relevant page in the source document. Simple line art, sketch-like quality."
22_tatsuya_beginner_academic-paper-summary-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is struggling to read a dense, complex academic paper filled with technical symbols. They look sleepy and frustrated. Simple line art, sketch-like quality."
22_tatsuya_beginner_academic-paper-summary-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person uploads a PDF icon of a paper to a friendly AI robot. The robot instantly processes it and hands back a neatly structured summary with clear sections and bullet points. Simple line art, sketch-like quality."
21_beginner_youtube-to-text-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is watching a video, but the knowledge is shown as volatile wisps that evaporate into the air after being seen. Simple line art, sketch-like quality."
21_beginner_youtube-to-text-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person gives a YouTube video URL to a friendly AI robot. The robot transforms the flow of video into a solid document with searchable text and key points highlighted. Simple line art, sketch-like quality."
20_beginner_listen-to-books-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is shown falling asleep on a large, difficult book. Next to them is a growing pile of unread books. Simple line art, sketch-like quality."
20_beginner_listen-to-books-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is shown jogging while listening to an audiobook on their phone. A friendly AI editor is depicted transforming a book PDF into an audio wave file. Simple line art, sketch-like quality."
19_beginner_time-reminder-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is deep in focus (in the zone), but is suddenly startled by a loud, jarring alarm from their smartphone. The shock is shown with motion lines. Simple line art, sketch-like quality."
19_beginner_time-reminder-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A friendly AI assistant gently taps a focused person on the shoulder. The AI has a soft, polite gesture, showing a gentle transition to the next task. Simple line art, sketch-like quality."
18_intermediate_emotion-wave-analysis-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is being tossed around on a chaotic, unpredictable wave pattern. They look out of control and unable to work effectively. Simple line art, sketch-like quality."
18_intermediate_emotion-wave-analysis-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person gives their daily journal to an AI performance coach. The AI analyzes the data and presents a calendar with a highlighted optimal time period. The person is now shown skillfully surfing the wave. Simple line art, sketch-like quality."
17_intermediate_learning-style-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is trying to force a square peg (their personal learning style) into a round hole (a generic learning method). They look frustrated. Simple line art, sketch-like quality."
17_intermediate_learning-style-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. An AI psychologist is shown giving a person a personalized key (their optimal learning style) that perfectly fits a keyhole in their brain. Simple line art, sketch-like quality."
16_advanced_stumbling-prediction-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is walking along a learning path and suddenly encounters a large, unexpected wall. They look shocked and demotivated by the sudden obstacle. Simple line art, sketch-like quality."
16_advanced_stumbling-prediction-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A friendly AI mentor is showing a person a map of their learning journey. The map has a warning sign marking a future obstacle. The person looks prepared and is building a bridge over it in advance. Simple line art, sketch-like quality."
15_beginner_backward-thinking-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is standing at the bottom of a huge, foggy mountain, representing a large goal. They look up with an overwhelmed expression. Simple line art, sketch-like quality."
15_beginner_backward-thinking-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A friendly AI project manager is showing a person a clear map that starts from the mountain's peak and works backward to the present day, breaking the entire journey into small, daily steps. Simple line art, sketch-like quality."
14_intermediate_custom-learning-roadmap-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is standing at a confusing crossroads with multiple signs pointing in different directions. They look lost and confused. Simple line art, sketch-like quality."
14_intermediate_custom-learning-roadmap-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A friendly AI career designer is shown skillfully weaving together two different colored threads into a single, strong, and unique rope, representing a personalized learning roadmap. Simple line art, sketch-like quality."
49_beginner_book-recommendation-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is shown looking bored while reading a generic bestseller that everyone else is reading. Simple line art, sketch-like quality."
49_beginner_book-recommendation-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person gives their reading history (a list of books) to a wise AI librarian. The AI analyzes their reading patterns and recommends a surprising, niche book with a glowing aura. Simple line art, sketch-like quality."
47_intermediate_market-value-career-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is looking at their paycheck with a large question mark over it, feeling anxious about their market value. Simple line art, sketch-like quality."
47_intermediate_market-value-career-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person gives their resume to a professional AI headhunter. The AI uses a scale to objectively weigh their skills and presents a clear report showing salary range and a strategic plan to increase it. Simple line art, sketch-like quality."
45_intermediate_visualize-physics-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person's head is filled with question marks as they look at the complex physics equation E=mc². They cannot visualize the concept. Simple line art, sketch-like quality."
45_intermediate_visualize-physics-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. An AI illustrator is showing a person a simple, step-by-step animated diagram of a rocket traveling at near-light speed. The diagram uses visual cues to make the concept of time dilation intuitive. Simple line art, sketch-like quality."
44_intermediate_metaphor-creation-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. An expert's speech bubble is filled with dense, unreadable technical symbols. The listener looks completely lost, showing a communication barrier. Simple line art, sketch-like quality."
44_intermediate_metaphor-creation-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A friendly AI metaphor magician transforms difficult technical terms into a simple, charming illustration of a waiter serving a customer in a restaurant. The listener has a lightbulb moment. Simple line art, sketch-like quality."
43_advanced_voice-memo-research-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person has a brilliant idea (a lightbulb) in the shower, but the idea is shown as a fragile soap bubble that pops and disappears before they can record it. Simple line art, sketch-like quality."
43_advanced_voice-memo-research-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person speaks their idea into a smartphone. A friendly AI incubator robot catches the idea (the lightbulb) and plants it in a pot, where it instantly grows into a small tree representing a structured project plan. Simple line art, sketch-like quality."
42_advanced_analyze-thinking-bias-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is looking into a mirror, but the reflection is a distorted, idealized version of themselves. They are blind to their own flaws. Simple line art, sketch-like quality."
42_advanced_analyze-thinking-bias-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person gives their past writings to an AI cognitive scientist. The AI analyzes the text and uses a magnifying glass to highlight specific cognitive biases in the document, revealing the person's blind spots. Simple line art, sketch-like quality."
41_intermediate_business-plan-validation-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is holding a fragile-looking lightbulb (the idea), but is being bombarded by sharp, pointy question arrows from multiple directions. Simple line art, sketch-like quality."
41_intermediate_business-plan-validation-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is presenting their idea to a tough but fair AI investor. The AI's sharp questions are shown as a blacksmith's hammer, forging the fragile lightbulb into a strong, solid diamond. Simple line art, sketch-like quality."
40_advanced_devil-advocate-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is presenting their idea to a group of colleagues. The colleagues are all nodding politely and giving generic praise with thumbs up, showing a lack of real feedback. Simple line art, sketch-like quality."
40_advanced_devil-advocate-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is presenting their idea to a single AI robot wearing small devil horns. The AI is providing a long, critical list of potential flaws and risks on a checklist. Simple line art, sketch-like quality."
39_tatsuya_beginner_devils-advocate-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person asks colleagues for feedback on a plan. The colleagues give vague, unhelpful compliments to be polite. Simple line art, sketch-like quality."
39_tatsuya_beginner_devils-advocate-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person explains their plan to a skeptical-looking AI risk consultant. The AI provides a direct, blunt list of all possible weaknesses on a clipboard. Simple line art, sketch-like quality."
38_tatsuya_intermediate_chain-of-thought-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person asks an AI a question. The AI gives a generic, superficial answer that comes out of a black box, leaving the person unsatisfied. Simple line art, sketch-like quality."
38_tatsuya_intermediate_chain-of-thought-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person asks an AI a question. The AI is shown thinking, with its thought process visualized as a clear, logical sequence of numbered steps with arrows between them. Simple line art, sketch-like quality."
37_advanced_fact-opinion-separation-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is shown being pulled in two different directions by two conflicting news articles with opposing arrows. The person looks confused and unable to make a judgment. Simple line art, sketch-like quality."
37_advanced_fact-opinion-separation-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A calm, focused AI fact-checker is shown sorting multiple news articles into two neat, separate boxes. One box for objective facts and another for media opinions, bringing clarity to the chaos. Simple line art, sketch-like quality."
36_tatsuya_intermediate_gemini-deep-research-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is lost in a dense forest made of countless browser tabs and information links. They can only see the trees, not the whole forest. Simple line art, sketch-like quality."
36_tatsuya_intermediate_gemini-deep-research-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person gives a single topic to a team of small, efficient AI robots. The robots work together to quickly survey the entire forest and draw a clear, structured map of it. Simple line art, sketch-like quality."
35_intermediate_concept-map-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person's head is shown with many disconnected keywords and ideas floating around chaotically. Simple line art, sketch-like quality."
35_intermediate_concept-map-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person gives their chaotic thoughts to a friendly AI diagramming expert. The AI instantly organizes the ideas into a clean and clear concept map with a central theme and connected nodes, revealing all the hidden connections. Simple line art, sketch-like quality."
50_tatsuya_intermediate_ai-era-output-thinking-01-Before,traditionalMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is shown trying to compete with an AI in a race of knowledge accumulation, looking stressed and overwhelmed. Simple line art, sketch-like quality."
50_tatsuya_intermediate_ai-era-output-thinking-02-After,aiMethodDiagram,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is depicted as a film director or editor in a director's chair, using an AI as a research assistant and camera crew. The person is focusing on the big picture and adding their unique, creative touch. Simple line art, sketch-like quality."
