ID,ImageType,BeforeAfterDiagram,Prompt_JP,Prompt_EN
08_tatsuya_beginner_word-to-powerpoint-01-Before,traditionalMethodDiagram,【AI登場以前】パソコンの画面半分にWordを、もう半分にPowerPointを開く。→ Wordからコピペし、箇条書きに直し、スライドの見た目を整える。→ 元のWordを修正したら、パワポも手で直さなければならず、二度手間になる。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。疲れて退屈そうな人物が、Word文書アイコンからPowerPointスライドアイコンへテキストを手動でドラッグしている様子。前後の動きを示す複数の矢印で、遅く退屈で反復的なタスクとして描かれている。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is shown looking tired and bored, manually dragging text from a Word document icon to a PowerPoint slide icon. The process is depicted as a slow, tedious, and repetitive task with multiple arrows showing the back-and-forth motion. Simple line art, sketch-like quality."
08_tatsuya_beginner_word-to-powerpoint-02-After,aiMethodDiagram,【超AI独学法】完成したWord文書を開いたまま、PowerPointのCopilot（AI機能）を起動。「このWord文書からプレゼン資料を作って」とお願いするだけ。→ AIがWord文書の構成を理解し、タイトル、目次、各スライドの要約、さらには発表者用のメモまで含んだ資料の骨子を自動で作ってくれる。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が見出しが正しくスタイル設定されたWord文書アイコンを陽気なAIロボットに渡すだけ。ロボットが即座に処理し、完全に形成されたプロフェッショナルなPowerPointプレゼンテーションを提示。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person simply hands a Word document icon (with correctly styled headings) to a cheerful AI robot. The robot instantly processes it and presents a fully formed, professional PowerPoint presentation. Simple line art, sketch-like quality."
07_kyoko_beginner_simplification-01-Before,traditionalMethodDiagram,【AI登場以前】自分の部署の常識で説明してしまう。→ 相手の表情が「？」となっているのに気づかず、一方的に話し続ける。→ 結果、言いたいことが全く伝わらず、誤解が生まれる。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。専門家が話しているが、その吹き出しは複雑な記号と技術的なアイコンで満たされている。別部門の聞き手は頭上に巨大な疑問符があり、完全なコミュニケーションギャップを示している。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. An expert is talking, but their speech bubble is filled with complex symbols and technical icons. The listener, from another department, has a giant question mark over their head, showing a complete communication gap. Simple line art, sketch-like quality."
07_kyoko_beginner_simplification-02-After,aiMethodDiagram,【超AI独学法】AIに「この文章を、IT部署以外の人にも分かるように、専門用語なしで書き換えて」「この社内用語『〇〇』を、初めて聞く人にも分かるよう、具体的な例を挙げて説明して」とお願いする。→ AIが、相手の知識レベルに合わせて、分かりやすい言葉に「通訳」してくれる。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。友好的なAIロボットが専門家と聞き手の間に立ち、翻訳者として機能。ロボットが複雑な吹き出しを取り、基本的なアイコンと理解しやすい視覚的比喩を含むシンプルで明確な吹き出しに変換。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A friendly AI robot stands between the expert and the listener, acting as a translator. The robot takes the complex bubble and transforms it into a simple, clear bubble with basic icons and easy-to-understand visual metaphors. Simple line art, sketch-like quality."
06_kyoko_intermediate_copilot-coaching-01-Before,traditionalMethodDiagram,【AI登場以前】ビジネスメールの書き方の本を読む。→ 何度も文章を書き直してみる。→ 上司や先輩に確認してもらうが、毎回頼むのは気が引ける。→ 結局、不安なまま送信する。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が緊張してビジネスメールを書いている様子。思考バブルには心配記号と疑問符が含まれている。「送信」ボタンが大きく威圧的なボタンとして描かれている。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is shown nervously writing a business email. Their thought bubble contains worry symbols and question marks. The 'Send' button is depicted as a large, intimidating button. Simple line art, sketch-like quality."
06_kyoko_intermediate_copilot-coaching-02-After,aiMethodDiagram,【超AI独学法】自分で書いたメールの下書きをCopilot（AI機能）に見せる。→ 「この文章、もっとプロっぽくして」「もっと丁寧な言い方にして」とお願いする。→ AIが具体的な修正案（言葉遣い、構成、丁寧さ）を教えてくれる。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物がメールの下書きを友好的なAIロボットコーチに見せている。ロボットがサイドパネルでチェックマークと改善アイコンとともに有益な提案を提供し、優しいライティング講師として機能。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is showing their email draft to a friendly AI robot coach. The robot provides helpful suggestions in a side panel with checkmarks and improvement icons, acting as a gentle writing tutor. Simple line art, sketch-like quality."
05_tatsuya_beginner_gemini-in-workspace-01-Before,traditionalMethodDiagram,【AI登場以前】Gmailの検索窓でキーワードを打ち込み、大量のメールから目的のものを必死で探す。→ 次にGoogleドライブでも同じように検索し、ファイルを一つずつ開いて中身を確認する。→ この繰り返しで、探すだけで一苦労。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が必死に情報を探しており、Gmail、Google Drive、Docsの混沌とした重なり合うウィンドウに囲まれている。複数のプラットフォーム間での検索のストレスを象徴する場面。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is frantically searching for information, surrounded by chaotic, overlapping windows of Gmail, Google Drive, and Docs. The scene symbolizes the stress of searching across multiple platforms. Simple line art, sketch-like quality."
05_tatsuya_beginner_gemini-in-workspace-02-After,aiMethodDiagram,【超AI独学法】GmailやGoogleドキュメントの横にいるGemini（AI）に、「@gmail @docs 『αプロジェクト』に関するこの1ヶ月のやり取りと、大事な決定事項をまとめて」と話しかけるだけ。→ Geminiがメールやドキュメントを横断的に探し、一つのレポートにまとめてくれる。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が単一の統合されたAIインターフェースに冷静に話しかけている。AIロボットがGmail、Drive、Docsのアイコンから情報を引き出し、単一の読みやすい要約文書にきれいにまとめている様子。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person calmly speaks to a single, unified AI interface. The AI robot is shown pulling information from Gmail, Drive, and Docs icons and neatly compiling it into a single, easy-to-read summary document. Simple line art, sketch-like quality."
04_advanced_ai-research-agent-01-Before,traditionalMethodDiagram,【従来の独学法】会議中に必死でメモを取る → メモが断片的で後から見ても分からない → 録音を聞き返すのに1時間以上かかる → 議事録を書くのに更に30分 → 結局、重要な決定事項があいまいになる,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。会議中に必死でメモを取る人物。メモが断片的で読み返しても分からない状態。録音機器の横に時計があり、聞き返すのに長時間かかることを示している。重要な決定事項が曖昧になっている様子を霧で表現。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person frantically taking notes during a meeting. The notes are fragmented and incomprehensible when reviewed later. A clock next to a recording device shows the long time needed to listen back. Important decisions becoming unclear is represented by fog. Simple line art, sketch-like quality."
04_advanced_ai-research-agent-02-After,aiMethodDiagram,【超AI独学法】会議の録音データをAIにアップロード → 「この会議の決定事項、アクションアイテム、次回までの宿題を整理して」と依頼 → AIが5分で構造化された議事録を作成 → 参加者全員にすぐ共有でき、認識のズレがなくなる,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が会議の録音データをAI議事録作成ロボットにアップロード。AIが5分で構造化された議事録（決定事項、アクションアイテム、宿題リスト）を作成。参加者全員がタブレットで同じ内容を確認し、認識が一致している様子。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person uploads meeting recording data to an AI minutes-taking robot. The AI creates a structured meeting minutes in 5 minutes (decisions, action items, homework list). All participants are viewing the same content on tablets, showing aligned understanding. Simple line art, sketch-like quality."
03_tatsuya_beginner_personalized-news-report-01-Before,traditionalMethodDiagram,【AI登場以前】毎朝、複数のニュースサイトを巡回する。→ 情報が多すぎて、全部読みきれない。→ 大事なニュースを見逃してしまうこともある。→ 結局、情報収集だけで1時間もかかってしまう。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が手動で複数のニュースウェブサイトを訪問している様子で、疲れて見える。背景の時計がかなりの時間が経過していることを示している。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is depicted manually visiting multiple news websites, looking tired. A clock in the background shows a significant amount of time passing. Simple line art, sketch-like quality."
03_tatsuya_beginner_personalized-news-report-02-After,aiMethodDiagram,【超AI独学法】AI検索エンジンに「私の専門分野（AIと人事）について、この1週間で最も重要なニュースを3つにまとめて。特にライバル会社A社の動きに注目してね」と一度だけお願いしておく。→ 毎週、AIが自動で情報を集めて要約し、あなた専用のニュースレポートを届けてくれる。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。友好的なAIロボットが微笑む人物にパーソナライズされた新聞を届けている。新聞には異なるトピックを表す関連アイコンを持つ整理されたセクションが含まれている。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A friendly AI robot is shown delivering a personalized newspaper to a smiling person. The newspaper contains organized sections with relevant icons representing different topics. Simple line art, sketch-like quality."
02_kyoko_beginner_web-summary-01-Before,traditionalMethodDiagram,【AI登場以前】たくさんのWebページを開きっぱなしにする。→ 一つずつ流し読みするが、途中で飽きてしまう。→ 結局、どの記事に何が書いてあったかよく分からず、情報収集だけで疲れてしまう。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が画面上の非常に長く密度の高いウェブ記事を読もうとして居眠りしている様子。記事は終わりのないスクロールとして表示されている。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is shown dozing off while trying to read a very long, dense web article on a screen. The article appears as an endless scroll. Simple line art, sketch-like quality."
02_kyoko_beginner_web-summary-02-After,aiMethodDiagram,【超AI独学法】気になる記事のURLをAIに渡す。→ 「この記事、3行で教えて」とお願いするだけ。→ AIが瞬時に記事を読んで、要点だけを教えてくれる。→ 「AI、すごい！賢い！」という感動を手軽に味わえる。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物がウェブ記事を表す長いスクロールを友好的なAIロボットに渡している。ロボットが即座にスクロールを箇条書きのある小さくきれいなメモに圧縮し、時間効率の大幅な改善を示している。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person hands a long scroll representing a web article to a friendly AI robot. The robot instantly compresses the scroll into a small, neat note with bullet points, demonstrating a huge improvement in time efficiency. Simple line art, sketch-like quality."
01_beginner_organize-thoughts-01-Before,traditionalMethodDiagram,【AI登場以前】手帳にタスクを書き出す。→ でも、どれも大事に思えて優先順位がつけられない。→ 結局、目の前の簡単な作業から手をつけてしまい、本当に重要なことが後回しになる。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物の頭上に大きく乱雑で絡まった毛糸玉があり、混沌とした思考を表している。毛糸玉の中には様々な抽象的なシンボルやアイコンが閉じ込められて無秩序になっている。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is shown with a large, messy, tangled ball of yarn above their head, representing chaotic thoughts. Inside the yarn ball, various abstract symbols and icons are trapped and disorganized. Simple line art, sketch-like quality."
01_beginner_organize-thoughts-02-After,aiMethodDiagram,【超AI独学法】AIに「ちょっと聞いて！頭がごちゃごちゃなんだ」と話しかける。→ 思いつくままに話す。→ AIが客観的に情報を整理してくれる。→ 「なるほど、こう考えればいいのか！」というAIの基本的な便利さに気づく。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が友好的なAIロボットに冷静に話しかけている。ロボットが巧みに毛糸玉をほどき、シンプルなラベル付きの3つの別々の整理されたスプールにきれいに巻いている。場面はクリーンで穏やか。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is calmly talking to a friendly AI robot. The robot is skillfully untangling the ball of yarn and neatly winding it into three separate, organized spools with simple labels. The scene is clean and serene. Simple line art, sketch-like quality."
34_advanced_learning-community-01-Before,traditionalMethodDiagram,【従来の独学法】一人で黙々と学習する。→ 分からない問題にぶつかり、何時間もむ。→ 誰にも相談できず、孤独感が募る。→ モチベーションが低下し、学習効率が悪化。→ 最終的に挫折してしまう。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が広大で空の空間で一人で机に向かって勉強しており、孤独に見える。頭上に大きな疑問符が浮かび、独学の孤立を強調している。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is studying alone at a desk in a vast, empty space, looking lonely. A large question mark floats above their head, emphasizing the isolation of self-study. Simple line art, sketch-like quality."
34_advanced_learning-community-02-After,aiMethodDiagram,【超AI独学法】AIに「私と同じ目標を持つ仲間をSNSで見つけて」と依頼。→ AIが同じ志を持つ学習者をリストアップ。→ AIに「学習効果が最大化するコミュニティのルールを設計して」と依頼し、オンラインコミュニティを立ち上げる。→ 週一の進捗報告会や勉強会で、仲間と切磋琢磨し、加速度的に成長する。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。友好的なAIロボットがコミュニティマネージャーとして機能し、仮想空間で複数の人々を繋いでいる。彼らは幸せにアイデアを交換し、お互いを助け合っており、電球と接続線がコラボレーションを示している。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A friendly AI robot acts as a community manager, connecting several people in a virtual space. They are happily exchanging ideas and helping each other, with lightbulbs and connection lines showing collaboration. Simple line art, sketch-like quality."
33_intermediate_weekly-report-01-Before,traditionalMethodDiagram,【従来の独学法】ひたすら学習時間を投入する。→ しかし、振り返りを行わない。→ 同じような間違いを何度も繰り返す。→ 非効率な学習方法を延々と続けてしまう。→ 成長が頭打ちになり、努力が報われない感覚に陥る。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物がハムスターホイールで走っている。汗をかいて疲れて見えるが、風景は変わらず、進歩や反省のない努力を表している。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is running on a hamster wheel. They are sweating and look tired, but the scenery isn't changing, representing effort without progress or reflection. Simple line art, sketch-like quality."
33_intermediate_weekly-report-02-After,aiMethodDiagram,【超AI独学法】AIを「データ分析に強い学習コンサルタント」と定義。→ 毎週金曜の夜に、その週の学習記録を基にした自動レポートを作成させる。→ 「今週は合計10時間学習し、目標達成率は120%です。素晴らしいですね」といったサマリーと共に、「〇〇の分野の学習時間が短いようです」といった客観的な分析と改善提案を受け取る。→ データに基づいたPDCAサイクルを回し、学習を加速させる。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。友好的なAIデータアナリストが人物に週の単純で明確なレポートカードを見せている。レポートにはチェックマークと改善アイコンのセクションがあり、計画のための明確な基盤を提供している。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A friendly AI data analyst is showing a person a simple, clear report card for the week. The report has sections with checkmarks and improvement icons, providing a clear basis for planning. Simple line art, sketch-like quality."
32_intermediate_gamification-progress-01-Before,traditionalMethodDiagram,【従来の独学法】毎日コツコツと学習を続ける。→ しかし、進捗が見えず、成長を実感できない。→ 終わりのないマラソンを走っているような感覚に陥る。→ モチベーションが低下し、途中で疲弊してしまう。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。人物が標識やマイルストーンのない長く単調で終わりのない道を歩いている。退屈でやる気を失っているように見える。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A person is walking on a long, monotonous, and endless road with no signs or milestones. They look bored and demotivated. Simple line art, sketch-like quality."
32_intermediate_gamification-progress-02-After,aiMethodDiagram,【超AI独学法】AIに「私の学習を管理するームマスターになって」と依頼。→ 日々の学習内容を報告する。→ AIが「経験値100を獲得！あなたは『Python使いLv.5』にレベルアップした！」とゲーム風のフィードバックを返す。→ 成長が可視化され、楽しみながら学習を継続できる。,ミニマリスト・グラフィックレコーディングスタイル、インフォグラフィック、手描き風、モノクローム、白黒、4:3アスペクト比。友好的なAIゲームマスターが人物に輝くメダルと星付きのレベルアップ通知を与えている。人物はロールプレイングゲームのキャラクターのように興奮してやる気に満ちている。シンプルなラインアート、スケッチ風の質感。,"Minimalist graphic recording style, infographic, hand-drawn, monochrome, black and white, 4:3 aspect ratio. A friendly AI game master is shown giving a person a glowing medal and a level-up notification with stars. The person looks excited and motivated, like a character in a role-playing game. Simple line art, sketch-like quality."
